Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-190903-2,brca2<sup>hg45/hg45</sup>,male sex determination,ZDB-PUB-181213-8,brca2,Reproductive
ZDB-FISH-190903-2,brca2<sup>hg45/hg45</sup>,response to xenobiotic stimulus,ZDB-PUB-181213-8,brca2,Immune
ZDB-FISH-210608-12,brca2<sup>sh515/sh515</sup>,central nervous system,ZDB-PUB-200422-106,brca2,Nervous
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),oocyte stage II,ZDB-PUB-220120-2,brca2,Reproductive
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),oocyte stage III,ZDB-PUB-220120-2,brca2,Reproductive
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),oocyte stage I,ZDB-PUB-220120-2,brca2,Reproductive
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),oocyte stage IV,ZDB-PUB-220120-2,brca2,Reproductive
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),oocyte stage V,ZDB-PUB-220120-2,brca2,Reproductive
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),oogonia,ZDB-PUB-220120-2,brca2,Reproductive
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),optic choroid vascular plexus,ZDB-PUB-220120-2,brca2,Nervous
ZDB-FISH-230928-1,brca2<sup>hg5/hg5</sup>; tp53<sup>zdf1/zdf1</sup> (AB),cranial nerve II,ZDB-PUB-220120-2,brca2,Nervous
ZDB-FISH-230928-3,brca2<sup>hg5/+</sup>; tp53<sup>zdf1/+</sup> (AB),blastomere,ZDB-PUB-220120-2,brca2,Embryo
ZDB-FISH-240325-17,brca2<sup>kh51/kh51</sup>,trunk,ZDB-PUB-210815-5,brca2,Skeletal
ZDB-FISH-150901-4716,WT + MO1-c3a.1,embryo development,ZDB-PUB-140614-2,c3a.1,Embryo
ZDB-FISH-150901-4716,WT + MO1-c3a.1,whole organism,ZDB-PUB-140614-2,c3a.1,Whole organism
ZDB-FISH-220510-5,c3a.1<sup>sa31241/sa31241</sup>,caudal fin,ZDB-PUB-201002-161,c3a.1,Whole organism
ZDB-FISH-220510-8,c3a.1<sup>sa31241/sa31241</sup>; uwm7Tg/uwm7Tg,neutrophil migration,ZDB-PUB-201002-161,c3a.1,Immune
ZDB-FISH-220329-1,AB + MO1-chl1a,pericardium,ZDB-PUB-200910-9,chl1a,Circulatory
ZDB-FISH-220329-1,AB + MO1-chl1a,trunk,ZDB-PUB-200910-9,chl1a,Skeletal
ZDB-FISH-220329-1,AB + MO1-chl1a,ventricular system,ZDB-PUB-200910-9,chl1a,Circulatory
ZDB-FISH-220329-15,sqet33mi2AEt + MO1-chl1a (AB),subcommissural organ,ZDB-PUB-200910-9,chl1a,Nervous
ZDB-FISH-220329-15,sqet33mi2AEt + MO1-chl1a (AB),Reissner's fiber,ZDB-PUB-200910-9,chl1a,Nervous
ZDB-FISH-150901-21849,eef1a1l1<sup>hi1116bTg</sup>,eye,ZDB-PUB-060503-2,eef1a1l1,Nervous
ZDB-FISH-150901-21849,eef1a1l1<sup>hi1116bTg</sup>,sensory system,ZDB-PUB-060503-2,eef1a1l1,Nervous
ZDB-FISH-150901-6761,eef1a1l1<sup>hi1116bTg/hi1116bTg</sup>,whole organism,ZDB-PUB-040708-1,eef1a1l1,Whole organism
ZDB-FISH-150901-6761,eef1a1l1<sup>hi1116bTg/hi1116bTg</sup>,yolk,ZDB-PUB-040708-1,eef1a1l1,Digestive
ZDB-FISH-150901-6761,eef1a1l1<sup>hi1116bTg/hi1116bTg</sup>,head,ZDB-PUB-040708-1,eef1a1l1,Skeletal
ZDB-FISH-171120-7,WT + MO2-eef1a2,heart development,ZDB-PUB-170916-10,eef1a2,Circulatory
ZDB-FISH-171120-7,WT + MO2-eef1a2,heart contraction,ZDB-PUB-170916-10,eef1a2,Circulatory
ZDB-FISH-171120-7,WT + MO2-eef1a2,pericardium,ZDB-PUB-170916-10,eef1a2,Nervous
ZDB-FISH-171120-7,WT + MO2-eef1a2,atrium,ZDB-PUB-170916-10,eef1a2,Circulatory
ZDB-FISH-171120-7,WT + MO2-eef1a2,whole organism,ZDB-PUB-170916-10,eef1a2,Whole organism
ZDB-FISH-171120-7,WT + MO2-eef1a2,head,ZDB-PUB-170916-10,eef1a2,Circulatory
ZDB-FISH-201027-1,eef1a2<sup>zf3070/zf3070</sup> (AB),brain,ZDB-PUB-200118-22,eef1a2,Skeletal
